1. 央视,#genre#
河北卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch17121814385494126166.rsc/75853_Uni.sdp
重庆卫视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch10120118293449046768.rsc/70020_Uni.sdp
海南卫视,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch10120116181598810422.rsc/70001_Uni.sdp
四川卫视,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch11122400393964414144.rsc/69962_Uni.sdp
江西卫视,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch10120118345500084693.rsc/69999_Uni.sdp
广西卫视,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch10120114524702485505.rsc/69956_Uni.sdp
吉林卫视,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch10120116035123677506.rsc/69989_Uni.sdp
云南卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch10120116144658191615.rsc/69926_Uni.sdp
新疆卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch10120118204473437661.rsc/69942_Uni.sdp
甘肃卫视,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch21092610332476918454.rsc/92476_Uni.sdp
青海卫视,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch10120118273518671654.rsc/69945_Uni.sdp
西藏卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch10120116213780720306.rsc/69953_Uni.sdp
宁夏卫视,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch25072809435815201156.rsc/103092_Uni.sdp
山西卫视,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch10120118303484157828.rsc/70039_Uni.sdp
陕西卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch10120118332130518297.rsc/70017_Uni.sdp
内蒙古卫视,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch10120118290217488762.rsc/70041_Uni.sdp
兵团卫视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch10120116250568011708.rsc/69935_Uni.sdp
农林卫视,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch10120118335748437793.rsc/69961_Uni.sdp
厦门卫视,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch17120418140581348001.rsc/74165_Uni.sdp
延边卫视,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch23072116063432685915.rsc/98595_Uni.sdp
三沙卫视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch19120615372589393337.rsc/89705_Uni.sdp

 4. 其它,#genre#
精彩影视,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch21092610322847858391.rsc/92629_Uni.sdp
求索纪录,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch25041514142600797103.rsc/102877_Uni.sdp
纪实科教,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch24020510150834566089.rsc/99959_Uni.sdp
金鹰纪实,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch15050917541337365144.rsc/72273_Uni.sdp
乐游频道,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch16051316264757381898.rsc/72222_Uni.sdp
法治天地,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch16051316234089749497.rsc/96356_Uni.sdp
东方财经,rtsp://119.180.21.15:1554/iptv/import/Tvod/iptv/001/001/ch16051316174673479081.rsc/96352_Uni.sdp
生活时尚,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch16051316300118213959.rsc/72219_Uni.sdp
都市剧场,rtsp://119.180.21.15:1554/iptv/import/Tvod/iptv/001/001/ch16051316281593708406.rsc/72223_Uni.sdp
动漫秀场,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch17121814421621825244.rsc/96208_Uni.sdp
金色学堂,rtsp://119.180.21.9:1554/iptv/import/Tvod/iptv/001/001/ch16051316370413715540.rsc/72224_Uni.sdp
环球旅游,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch22122209125585392509.rsc/98108_Uni.sdp
中国交通,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch20110221445820405906.rsc/90470_Uni.sdp
生态环境,rtsp://119.180.21.15:1554/iptv/import/Tvod/iptv/001/001/ch24111213061931833007.rsc/101610_Uni.sdp
中华特产,rtsp://119.180.21.6:1554/iptv/import/Tvod/iptv/001/001/ch22122209144768479365.rsc/98233_Uni.sdp
汽摩频道,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch23112715323902470603.rsc/99871_Uni.sdp
书画频道,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch21092610331127874295.rsc/92628_Uni.sdp
卡酷少儿,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch10120118400576795406.rsc/72287_Uni.sdp
金鹰卡通,rtsp://119.180.21.21:1554/iptv/import/Tvod/iptv/001/001/ch11122400412227153064.rsc/72340_Uni.sdp
财富天下,rtsp://119.180.21.9:1554/iptv/import/Tvod/iptv/001/001/ch21082717345151428687.rsc/96319_Uni.sdp
梨园频道,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch21092610314667739520.rsc/92624_Uni.sdp
武术世界,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch21092610320200462249.rsc/96351_Uni.sdp
文物宝库,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch21092610321303262159.rsc/92630_Uni.sdp
游戏风云,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch16051316213602697345.rsc/72218_Uni.sdp
发现之旅,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch24012314294218176484.rsc/100108_Uni.sdp
中学生,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch24012314300175015886.rsc/100060_Uni.sdp
老故事,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch24012314302384136112.rsc/100084_Uni.sdp
新动漫,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch18120514112382335432.rsc/83193_Uni.sdp
优漫卡通,rtsp://119.180.21.6:1554/iptv/import/Tvod/iptv/001/001/ch11042914374730524823.rsc/72312_Uni.sdp
嘉佳卡通,rtsp://119.180.21.7:1554/iptv/import/Tvod/iptv/001/001/ch15050917541249689380.rsc/72311_Uni.sdp
四海钓鱼,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch22121315043920146188.rsc/96508_Uni.sdp
快乐垂钓,rtsp://119.180.21.6:1554/iptv/import/Tvod/iptv/001/001/ch21082717343948936881.rsc/96330_Uni.sdp
优优宝贝,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch22122209132553924896.rsc/98238_Uni.sdp

精彩影视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch21092610322847858391.rsc/92512_Uni.sdp
求索纪录,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch25041514142600797103.rsc/102871_Uni.sdp
纪实科教,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch24020510150834566089.rsc/99953_Uni.sdp
金鹰纪实,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15050917541337365144.rsc/70053_Uni.sdp
乐游频道,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch16051316264757381898.rsc/69991_Uni.sdp
法治天地,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch16051316234089749497.rsc/96400_Uni.sdp
东方财经,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch16051316174673479081.rsc/96398_Uni.sdp
生活时尚,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch16051316300118213959.rsc/69982_Uni.sdp
都市剧场,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch16051316281593708406.rsc/69947_Uni.sdp
动漫秀场,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch17121814421621825244.rsc/96206_Uni.sdp
金色学堂,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch16051316370413715540.rsc/70002_Uni.sdp
环球旅游,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch22122209125585392509.rsc/98106_Uni.sdp
中国交通,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch20110221445820405906.rsc/90479_Uni.sdp
生态环境,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch24111213061931833007.rsc/101604_Uni.sdp
中华特产,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch22122209144768479365.rsc/98231_Uni.sdp
